lineup,minutes,points_scored,2_pointers_made,3_pointers_made,free_throws_made,assists,rebounds,blocks,steals,turnovers,fouls,points_allowed
1626167_201152_202709_202711_203506,359.35,801.0,219,76,135,152,842,39,76,275,118,729.0
1626168_1627736_1627750_1628420_203486,167.17,388.0,116,37,45,100,413,16,28,145,71,364.0
1626168_1627736_1627823_1628420_203486,112.53,247.0,75,20,37,50,298,13,20,106,49,226.0
1626169_201933_202397_203083_203493,274.17,617.0,184,51,96,132,655,33,46,202,104,562.0
1626169_201933_202704_203083_203493,141.1,297.0,80,27,56,61,361,12,24,106,63,286.0
1626169_202340_202699_202704_203083,396.6,848.0,224,94,118,194,835,18,66,304,144,906.0
1626170_1626171_1627835_1628021_202703,112.42,227.0,72,20,23,54,284,8,19,103,48,237.0
1626170_1627756_1628374_201577_203200,195.58,385.0,107,44,39,98,449,17,23,129,69,419.0
1626170_1628374_201577_203200_203897,105.6,220.0,68,18,30,51,250,6,13,71,34,213.0
1626170_1628964_203082_203613_203932,160.42,337.0,96,35,40,75,423,29,23,141,79,353.0
1626170_201577_201959_202710_2548,132.57,302.0,109,11,51,49,320,16,25,77,42,251.0
1626171_1628418_1628972_203078_203107,149.27,352.0,104,31,51,83,337,6,20,97,53,333.0
1626171_201145_203078_203107_2772,247.65,567.0,148,56,103,132,589,18,36,181,108,579.0
1626172_201142_201939_202691_203110,367.75,982.0,242,128,114,275,849,42,63,280,175,839.0
1626172_201142_201939_202691_2738,174.62,457.0,125,46,69,120,393,24,27,120,88,407.0
1626178_1627747_200751_201572_202391,244.35,574.0,143,59,111,131,604,31,41,190,108,565.0
1626178_201960_203092_203459_203915,315.07,685.0,174,86,79,171,733,28,32,197,111,627.0
1626179_1627759_1628369_201143_203382,116.87,252.0,68,31,23,64,265,8,25,83,45,220.0
1626179_1628369_201143_202694_203935,107.67,223.0,60,27,22,57,257,22,18,86,37,215.0
1626181_200768_201586_201942_202685,271.45,612.0,155,67,101,139,613,21,30,187,128,632.0
1626192_1628380_202334_203468_203894,116.5,262.0,80,25,27,55,295,12,15,91,47,214.0
1626195_201565_201584_204001_2546,171.82,370.0,121,27,47,88,392,18,24,121,60,411.0
1626196_201609_201949_202355_204020,294.45,668.0,191,58,112,140,695,46,56,237,125,616.0
1626196_201949_201961_203186_204020,102.22,206.0,63,15,35,44,259,12,19,99,41,210.0
1626204_1627742_1628366_201572_203484,218.78,449.0,138,32,69,104,523,33,48,176,90,467.0
1626209_201145_201228_201571_202687,115.1,214.0,55,20,44,42,307,11,13,113,51,249.0
1626209_202687_203095_203613_203901,102.85,216.0,68,17,29,51,226,12,21,83,43,251.0
1626220_1628378_201937_203109_203497,164.72,387.0,105,40,57,89,359,14,22,97,88,367.0
1626220_1628378_202324_203497_204060,188.7,407.0,116,40,55,90,442,22,31,146,54,359.0
1626220_1628378_203109_203497_204060,152.23,366.0,79,49,61,79,375,26,26,107,68,323.0
1626220_1628378_203109_203497_2594,149.7,334.0,73,43,59,73,340,23,24,99,64,318.0
1626224_1627790_1629012_201567_202688,125.07,292.0,67,42,32,60,286,6,7,84,40,297.0
1626224_1627790_1629012_202692_203918,112.5,220.0,60,24,28,50,265,4,15,80,43,249.0
1626224_201588_202684_2544_2747,103.48,227.0,67,24,21,46,223,6,8,62,40,241.0
1626257_1627812_1628372_202083_203084,185.1,400.0,103,41,71,66,411,18,24,103,88,410.0
1627732_200755_201163_202710_203954,292.93,728.0,194,70,130,174,694,40,38,230,106,649.0
1627732_200755_202699_202710_203954,160.73,433.0,123,35,82,90,406,17,27,105,55,362.0
1627732_200755_203496_203954_203967,706.42,1690.0,453,174,257,407,1706,74,119,551,285,1417.0
1627734_1628388_201936_202709_203926,112.7,264.0,80,24,32,52,297,6,16,105,63,248.0
1627734_201152_201936_202709_203926,177.87,432.0,139,32,53,106,416,8,29,139,72,352.0
1627734_201152_201954_202711_203506,498.25,1156.0,346,96,162,256,1043,26,111,386,164,1073.0
1627734_201152_202362_202709_203506,115.2,254.0,80,18,40,51,250,5,24,84,49,227.0
1627734_201152_202709_202711_203506,134.18,316.0,101,27,33,74,278,8,22,93,57,287.0
1627734_201566_201627_203460_203500,119.9,245.0,73,14,57,53,270,12,14,89,42,259.0
1627734_201566_203460_203500_203506,629.87,1315.0,438,90,169,282,1486,64,109,493,242,1255.0
1627734_201566_203460_203500_203518,104.22,243.0,62,30,29,53,255,10,20,76,48,235.0
1627734_201936_202709_202711_203926,116.67,249.0,87,15,30,56,285,10,24,115,55,236.0
1627736_1627750_1628470_200794_203999,139.58,361.0,104,41,30,99,326,13,19,85,55,292.0
1627739_1627756_1628374_201577_203200,503.87,1059.0,310,116,91,265,1125,51,80,347,176,1125.0
1627739_1627853_1628374_1628976_203200,101.23,202.0,59,21,21,50,231,14,20,69,49,206.0
1627739_1628374_201577_203490_203897,204.2,483.0,142,43,70,98,451,20,27,137,74,501.0
1627739_202332_202357_203498_203897,133.28,269.0,84,25,26,58,310,12,25,133,66,262.0
1627741_201950_201967_203076_203524,189.33,410.0,107,51,43,94,433,16,41,139,57,368.0
1627741_201950_203076_203093_203524,121.85,271.0,83,27,24,63,291,14,14,77,37,253.0
1627742_1628366_1628398_201572_203484,224.95,504.0,148,50,58,112,567,34,34,179,88,509.0
1627742_1628366_1628398_201580_2544,233.62,526.0,184,32,62,132,561,43,34,194,85,528.0
1627742_1628366_201572_203484_203944,105.03,248.0,62,29,37,63,235,12,18,83,32,249.0
1627742_1628404_201572_203484_203944,174.93,434.0,124,50,36,100,386,17,23,121,65,395.0
1627745_201142_201939_202691_203110,142.38,361.0,104,40,33,108,302,15,26,117,68,342.0
1627746_1628368_201588_202066_2216,134.07,260.0,87,22,20,51,289,15,16,92,57,291.0
1627748_1627763_203114_203503_203507,232.72,503.0,128,61,64,121,494,24,42,184,96,481.0
1627748_1628379_202397_204038_2585,105.03,218.0,54,26,32,53,235,7,15,79,61,242.0
1627748_202339_203114_203503_203507,101.3,238.0,70,17,47,52,215,12,20,83,37,224.0
1627748_203114_203503_203507_203521,131.7,279.0,78,24,51,56,300,14,16,92,54,267.0
1627749_200746_201980_201988_203937,194.43,405.0,129,35,42,92,449,31,35,135,68,353.0
1627749_200746_201980_203937_2200,147.2,287.0,102,16,35,71,322,22,19,102,32,306.0
1627750_1627823_1628470_203486_203999,143.85,313.0,80,40,33,86,312,15,19,98,52,324.0
1627750_1627823_200794_203914_203999,161.2,376.0,107,38,48,105,342,15,36,132,57,365.0
1627750_1628470_200794_203914_203999,198.67,409.0,135,31,46,90,445,16,33,166,77,424.0
1627750_200794_201163_203115_203999,318.37,737.0,180,96,89,166,701,32,49,194,101,678.0
1627750_200794_201163_203914_203999,345.37,810.0,227,86,98,198,728,30,68,267,113,744.0
1627750_200794_203115_203914_203999,494.17,1170.0,327,119,159,296,1115,38,73,323,199,1060.0
1627750_201163_203115_203914_203999,302.87,760.0,196,94,86,183,632,21,52,222,114,729.0
